SeanHeywood,eoas1123,1996-12-28,M,M,æˆ‘å–œæ­¡åƒè±†èŠ±,https://upload.wikimedia.org/wikipedia/commons/9/98/Christopher_Fabian_profile.jpg	
KyleErtham,eoas1123,1966-06-15,M,M,å¸¸å¸¸åŽ»æ»‘é›ª,https://lh3.googleusercontent.com/-ZadaXoUTBfs/AAAAAAAAAAI/AAAAAAAAAAA/3rh5IMTHOzg/photo.jpg	
KyleChester,eoas1123,1996-03-28,M,M,Cool and take it easy,http://www.realtimearts.net/data/images/art/46/4640_profile_nilssonpolias.jpg	
JudaAsger,eoas1123,1990-08-19,M,M,Like life,http://likecool.com/Gear/Pic/One%20Trippy%20Profile%20Pic/One-Trippy-Profile-Pic.jpg	
AbrahamLeverer,eoas1123,1968-05-05,M,M,Go to the flow,http://www.geek.com/wp-content/uploads/2010/07/Scott-Forstall-Executive-profile-image.jpg	
RoystonMilsent,eoas1123,1984-10-10,M,M,High expectancies,https://upload.wikimedia.org/wikipedia/en/7/70/Shawn_Tok_Profile.jpg	
RyanDerington,eoas1123,1994-07-20,M,M,Well educated and well mannered,http://zblogged.com/wp-content/uploads/2015/11/5.png	
IlhemHawkins,eoas1123,1969-10-16,M,B,Funny guy,http://zblogged.com/wp-content/uploads/2015/11/17.jpg	
JensenCheyne,eoas1123,1987-12-16,M,B,Player 	),http://orig03.deviantart.net/23a2/f/2010/352/f/7/headshotid_by_bokogreat_stock-d355xf3.jpg
TomLupton,eoas1123,1992-12-04,M,B,Look for LTR,http://admissions.berkeley.edu/sites/default/files/UCB_landingpage_images_600x300_212.jpg	
ChadWalsch,eoas1123,1991-06-13,M,B,Discreet,http://www.scheller.gatech.edu/thumb/width/600/cropratio/1:1/pix/directory/mulford_chuck_profile.jpg	
NathanSadler,eoas1123,1987-09-12,M,F,No face no dial,https://www.morganstanley.com/assets/images/people/tiles/adam-parker-large.jpg	
RyanMakepiece,eoas1123,1990-08-16,M,F,"Speaks english, french, german",http://www.incrediblethings.com/wp-content/uploads/2011/05/facebook-ad.jpg	
